num,day,airport,value
1,15,PARIS CH DE GAULLE,11
2,15,FRANKFURT MAIN,6
3,15,MADRID BARAJAS,4
4,15,LONDON/HEATHROW,71
5,15,MUENCHEN 2,-4
6,15,SCHIPHOL AMST48ERDAM,
7,15,ROME FIUMICINO,-12
8,15,WIEN SCHWECHAT,5
9,15,OSLO/GARDERMOEN,89
10,15,COPENHAGEN KASTRUP,47
11,15,ZURICH,1
12,15,DUESSELDORF,-13
13,15,ISTANBUL-ATATURK,-2
14,15,BARCELONA,4
15,15,STOCKHOLM-ARLANDA,50
16,15,ATHINAI E. VENIZELOS,10
17,15,BRUSSELS NATIONAL,45
18,15,PARIS ORLY,0
19,15,MILANO MALPENSA,7
20,15,TEGEL-BERLIN,-23
21,15,HELSINKI-VANTAA,24
22,15,GENEVE COINTRIN,-2
23,15,LONDON/GATWICK,79
24,15,HAMBURG,-5
25,15,KOELN-BONN,-8
26,15,MILANO LINATE,-18
27,15,PALMA DE MALLORCA,8
28,15,STUTTGART,-32
29,15,WARSZAWA/OKECIE,2
30,15,PRAHA RUZYNE,-4
31,15,DUBLIN,76
32,15,LISBOA,5
33,15,MANCHESTER,94
34,15,NICE,-3
35,15,BERGEN/FLESLAND,97
36,15,LAS PALMAS,4
37,15,LONDON/CITY,70
38,15,FERIHEGY-BUDAPEST,0
39,15,MARSEILLE PROVENCE,4
40,15,EDINBURGH,95
1,16,PARIS CH DE GAULLE,95
2,16,FRANKFURT MAIN,95
3,16,MADRID BARAJAS,17
4,16,LONDON/HEATHROW,97
5,16,MUENCHEN 2,56
6,16,SCHIPHOL AMSTERDAM,98
7,16,ROME FIUMICINO,15
8,16,WIEN SCHWECHAT,57
9,16,OSLO/GARDERMOEN,77
10,16,COPENHAGEN KASTRUP,82
11,16,ZURICH,52
12,16,DUESSELDORF,97
13,16,ISTANBUL-ATATURK,21
14,16,BARCELONA,18
15,16,STOCKHOLM-ARLANDA,77
16,16,ATHINAI E. VENIZELOS,20
17,16,BRUSSELS NATIONAL,97
18,16,PARIS ORLY,90
19,16,MILANO MALPENSA,30
20,16,TEGEL-BERLIN,96
21,16,HELSINKI-VANTAA,89
22,16,GENEVE COINTRIN,49
23,16,LONDON/GATWICK,99
24,16,HAMBURG,98
25,16,KOELN-BONN,95
26,16,MILANO LINATE,3
27,16,PALMA DE MALLORCA,41
28,16,STUTTGART,74
29,16,WARSZAWA/OKECIE,92
30,16,PRAHA RUZYNE,76
31,16,DUBLIN,87
31,16,LISBOA,13
33,16,MANCHESTER,97
34,16,NICE,48
35,16,BERGEN/FLESLAND,71
36,16,LAS PALMAS,2
37,16,LONDON/CITY,99
38,16,FERIHEGY-BUDAPEST,63
39,16,MARSEILLE PROVENCE,29
40,16,EDINBURGH,97
1,17,PARIS CH DE GAULLE,99
2,17,FRANKFURT MAIN,99
3,17,MADRID BARAJAS,26
4,17,LONDON/HEATHROW,99
5,17,MUENCHEN 2,98
6,17,SCHIPHOL AMSTERDAM,99
7,17,ROME FIUMICINO,43
8,17,WIEN SCHWECHAT,98
9,17,OSLO/GARDERMOEN,99
10,17,COPENHAGEN KASTRUP,99
11,17,ZURICH,98
12,17,DUESSELDORF,99
13,17,ISTANBUL-ATATURK,22
14,17,BARCELONA,26
15,17,STOCKHOLM-ARLANDA,100
16,17,ATHINAI E. VENIZELOS,21
