I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
9346	2439	2004	12	26		SRI LANKA		GIN RIVER	6.064	80.174	60	1765			4.1		5												
9418	2439	2004	12	26		USA	AK	SAND POINT, AK	55.337	-160.502	87	10561			.14		2												
9419	2439	2004	12	26		USA	AK	KODIAK, AK	57.75	-152.483	87	10955			.13		2	70											
9420	2439	2004	12	26		USA	AK	SITKA, AK	57.052	-135.342	87	11897	41	16	.04		2	48											
9421	2439	2004	12	26		USA	AK	YAKUTAT, AK	59.55	-139.733	87	11529	39	48	.08		2	45											
9347	2439	2004	12	26		SRI LANKA		GIN RIVER	6.074	80.178	60	1764			2.11		5												
9348	2439	2004	12	26		SRI LANKA		GIN RIVER	6.088	80.183	60	1764			1.75		5												
9349	2439	2004	12	26		SRI LANKA		POLHENA	5.936	80.526	60	1724			2.68		5												
9350	2439	2004	12	26		SRI LANKA		MATARA	5.943	80.55	60	1721			5.82		5												
9351	2439	2004	12	26		SRI LANKA		DICKWELLA	5.963	80.693	60	1706			5.54		5												
9352	2439	2004	12	26		SRI LANKA		TANGALLE	6.031	80.799	60	1696			3.09		5												
9353	2439	2004	12	26		SRI LANKA		HAMBANTOTA HARBOR	6.124	81.127	60	1662			10.87		5												
9354	2439	2004	12	26		SRI LANKA		HAMBANTOTA	6.131	81.129	60	1662			7.38		5												
9355	2439	2004	12	26		SRI LANKA		KIRINDA	6.235	81.337	60	1641			9.26		5												
9596	2439	2004	12	26		INDONESIA	ACEH	GANTING, SIMEULUE	2.549	96.335	60	101			1.75	1500	4										1		
9597	2439	2004	12	26		INDONESIA	ACEH	GANTING, SIMEULUE	2.55	96.33	60	100			3	2000	4												
9599	2439	2004	12	26		INDONESIA	ACEH	SIMEULUE ISLAND	2.575	96.269	60	94			.3	10	4												
9598	2439	2004	12	26		INDONESIA	ACEH	SIMEULUE ISLAND	2.558	96.308	60	98			4	2000	4												
9600	2439	2004	12	26		INDONESIA	ACEH	TANJUN RAYA, SIMEULUE	2.565	96.288	60	96			1.9		4												
9601	2439	2004	12	26		INDONESIA	ACEH	SENEBU VILLAGE, SIMEULUE	2.557	96.301	60	98			2	1500	4												
9602	2439	2004	12	26		INDONESIA	ACEH	SENEBU VILLAGE, SIMEULUE	2.344	96.468	60	128			2.5	1500	4												
9603	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.407	96.483	60	123			4	1500	4												
9604	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.408	96.482	60	123				1500	4												
9605	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.404	96.482	60	123			2.5	1500	4												
9606	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.403	96.481	60	123				1500	4										1		
9607	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.402	96.481	60	123			2.5	1500	4												1
9608	2439	2004	12	26		INDONESIA	ACEH	LABUHAN BAKTI, SIMEULUE	2.402	96.481	60	123			2.5	1500	4												
9609	2439	2004	12	26		INDONESIA	ACEH	LAUBANG, SIMEULUE	2.432	96.26	60	108			1.5	500	4												
9250	2439	2004	12	26		THAILAND		KARON BEACH (SOUTH PART), PHUKET	7.829	98.298	60	570			4.04		5												
9251	2439	2004	12	26		THAILAND		KARON BEACH (CENTRAL PART), PHUKET	7.842	98.297	60	571			4.49		5												
9252	2439	2004	12	26		THAILAND		MOODONG CANAL, PHUKET	7.842	98.375	60	576			3.15		5												
9253	2439	2004	12	26		THAILAND		PHALAI VILLAGE, PHUKET	7.839	98.373	60	575			2.75		5												
9254	2439	2004	12	26		THAILAND		MAKHAM BAY, PHUKET	7.87	98.417	60	581			1.39		5												
9255	2439	2004	12	26		THAILAND		SIRE VILLAGE, PHUKET	7.873	98.425	60	581			2.67		5												
9256	2439	2004	12	26		THAILAND		KHAO LAK	8.637	98.251	60	648			8.8		5												
9257	2439	2004	12	26		THAILAND		KHAO LAK	8.637	98.253	60	649			9.6		5										1		
9258	2439	2004	12	26		THAILAND		CHALONG BAY PIER, PHUKET	7.819	98.403	60	575			3.62		5												
9259	2439	2004	12	26		THAILAND		LEAM HIM, PHUKET	7.943	98.401	60	587			.72		5												
9260	2439	2004	12	26		THAILAND		BANG RONG PIER, PHUKET	8.047	98.419	60	598			1.47		5												
9261	2439	2004	12	26		THAILAND		PHI PHI DON (NORTH COAST)	7.739	98.777	60	589			5.84		5												
9262	2439	2004	12	26		THAILAND		PHI PHI DON (SOUTH COAST)	7.748	98.772	60	589			4.58		5												
9263	2439	2004	12	26		THAILAND		PATONG BEACH, PHUKET	7.884	98.292	60	575			5.09		5												
9264	2439	2004	12	26		THAILAND		PATONG BEACH, PHUKET	7.887	98.296	60	576			5.44		5												
9265	2439	2004	12	26		THAILAND		PATONG BEACH, PHUKET	7.894	98.299	60	577			5.48		5				1				1				1
9266	2439	2004	12	26		THAILAND		PATONG BEACH, PHUKET	7.892	98.298	60	576			5.02		5												
