time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-14T23:25:40.090Z,-52.64,18.8566,10,5.8,mwp,,28,20.298,0.73,us,us10004xmh,2016-03-14T23:46:41.032Z,"Southwest of Africa",earthquake,9.3,1.8,0.06,28,reviewed,us,us
2016-03-14T23:11:15.730Z,26.5636,128.9514,18.28,4.6,mb,,66,0.665,0.94,us,us10004xmg,2016-03-14T23:35:56.459Z,"97km E of Nago, Japan",earthquake,5.5,3.6,0.085,41,reviewed,us,us
2016-03-14T21:50:27.790Z,53.2126,159.7195,66.43,4.5,mb,,114,0.672,0.86,us,us10004xlw,2016-03-14T22:27:33.540Z,"74km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,9.4,6.2,0.051,115,reviewed,us,us
2016-03-14T15:39:29.750Z,-16.0276,-172.8265,10,5.1,mb,,82,2.337,1.2,us,us10004xfy,2016-03-14T23:42:13.858Z,"99km E of Hihifo, Tonga",earthquake,8,1.8,0.08,51,reviewed,us,us
2016-03-14T15:28:24.000Z,-20.9,-68.923,103.3,4.6,mb,,,,0.9,us,us10004xfn,2016-03-14T23:31:02.510Z,"147km ESE of Iquique, Chile",earthquake,2.9,5,0.075,53,reviewed,guc,us
2016-03-14T11:52:11.500Z,-19.8036,-174.9112,134.8,4.7,mb,,95,4.758,0.51,us,us10004xdp,2016-03-14T19:54:56.413Z,"58km W of Pangai, Tonga",earthquake,9.5,8.9,0.127,19,reviewed,us,us
2016-03-14T07:26:43.210Z,-56.4395,-27.0963,103.85,5.7,mb,,59,5.775,1.11,us,us10004xbl,2016-03-14T17:03:05.000Z,"29km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.4,5.3,0.045,172,reviewed,us,us
2016-03-14T07:03:17.420Z,29.8487,128.9816,207.49,5.5,mb,,15,2.084,0.99,us,us10004xbb,2016-03-14T15:37:42.040Z,"171km NNW of Naze, Japan",earthquake,7.2,5,0.027,490,reviewed,us,us
2016-03-14T04:23:18.490Z,-26.032,-70.8692,35.36,4.7,mb,,140,0.269,0.71,us,us10004xal,2016-03-14T12:25:48.641Z,"80km SSW of Taltal, Chile",earthquake,5.3,7.3,0.073,57,reviewed,us,us
2016-03-13T18:52:05.150Z,12.2147,144.5168,36.18,4.5,mb,,153,1.408,0.32,us,us10004x89,2016-03-14T02:54:35.376Z,"117km S of Merizo Village, Guam",earthquake,13.2,9.2,0.113,23,reviewed,us,us
2016-03-13T18:42:53.390Z,53.9636,158.6398,159.45,4.7,mb,,91,0.942,0.77,us,us10004x88,2016-03-14T02:45:24.447Z,"88km N of Yelizovo, Russia",earthquake,9.7,5.4,0.051,118,reviewed,us,us
2016-03-13T15:20:16.510Z,1.0846,126.2722,9.28,5.3,mb,,34,1.137,0.6,us,us10004x7j,2016-03-13T23:22:46.283Z,"126km WNW of Kota Ternate, Indonesia",earthquake,7.6,3.5,0.042,189,reviewed,us,us
2016-03-13T14:18:46.030Z,51.6239,-173.8284,10,4.6,mb,,142,1.462,0.71,us,us10004x7d,2016-03-13T22:21:24.284Z,"68km SSE of Atka, Alaska",earthquake,8.9,1.9,0.04,181,reviewed,us,us
2016-03-13T13:17:48.980Z,3.5334,-74.4542,50.6,4.5,mb,,99,1.309,1.2,us,us10004x75,2016-03-13T21:20:31.894Z,"42km ENE of Colombia, Colombia",earthquake,6.6,7.9,0.091,35,reviewed,us,us
2016-03-13T05:51:20.130Z,14.4945,123.1124,46.94,4.7,mb,,106,9.015,0.74,us,us10004x5n,2016-03-13T13:53:57.032Z,"37km NE of Sabang Indan, Philippines",earthquake,6.5,7.4,0.085,42,reviewed,us,us
2016-03-13T05:50:09.670Z,-23.9141,-179.9363,526.78,4.7,mb,,108,6.419,0.86,us,us10004x5m,2016-03-13T13:52:48.794Z,"South of the Fiji Islands",earthquake,12.1,5,0.097,32,reviewed,us,us
2016-03-13T04:19:25.670Z,51.5496,-173.9207,10,5.4,mb,,129,1.435,1.18,us,us10004x57,2016-03-14T01:56:21.000Z,"74km SSE of Atka, Alaska",earthquake,7.9,1.9,0.026,580,reviewed,us,us
2016-03-13T03:20:03.430Z,51.6732,-174.1524,10,5,mb,,139,1.255,1.17,us,us10004x4s,2016-03-13T11:22:42.982Z,"58km S of Atka, Alaska",earthquake,8.2,1.9,0.029,379,reviewed,us,us
2016-03-13T02:28:47.350Z,51.4578,-174.0517,10,4.6,mb,,190,1.401,0.81,us,us10004x4k,2016-03-13T10:31:15.426Z,"82km S of Atka, Alaska",earthquake,5.1,1.9,0.044,153,reviewed,us,us
2016-03-12T21:57:55.000Z,60.2518,-152.3118,99,4.9,ml,,,,0.77,ak,ak12970112,2016-03-14T18:28:07.536Z,"35km SE of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,reviewed,ak,ak
2016-03-12T18:06:46.070Z,51.6239,-174.0048,22.35,6.3,mww,,54,1.359,1.11,us,us10004x1w,2016-03-13T05:32:52.205Z,"65km SSE of Atka, Alaska",earthquake,6.5,4.5,,,reviewed,us,us
2016-03-12T18:01:05.120Z,52.0268,-174.2022,36.72,4.6,mb,,181,1.149,1.25,us,us10004x1u,2016-03-13T05:15:40.988Z,"18km S of Atka, Alaska",earthquake,3.5,7.6,0.042,167,reviewed,us,us
2016-03-12T16:05:14.140Z,-30.2439,-71.7062,30.17,5.2,mb,,137,0.432,1.15,us,us10004x18,2016-03-12T18:10:32.040Z,"47km SW of Coquimbo, Chile",earthquake,4.6,4.8,0.09,41,reviewed,us,us
2016-03-12T15:17:11.850Z,35.6249,-3.6007,10,5.2,mb,,91,2.271,0.76,us,us10004x0y,2016-03-13T15:50:29.973Z,"51km NE of Al Hoceima, Morocco",earthquake,8.5,1.9,0.074,60,reviewed,us,us
2016-03-12T15:04:04.850Z,35.579,-3.5544,10,5.2,mb,,98,2.324,0.93,us,us10004x0u,2016-03-12T18:33:54.663Z,"47km N of Boudinar, Morocco",earthquake,6.3,1.9,0.074,60,reviewed,us,us
2016-03-12T13:23:39.230Z,51.3888,-173.8826,17.98,5.4,mwb,,93,1.527,1.35,us,us10004x0f,2016-03-13T03:56:43.000Z,"92km SSE of Atka, Alaska",earthquake,6.5,2.7,0.041,56,reviewed,us,us
2016-03-12T12:40:41.580Z,35.3157,23.5123,21.2,4.7,mb,,105,1.127,1.11,us,us10004x09,2016-03-12T15:27:54.152Z,"18km WNW of Palaiochora, Greece",earthquake,4.3,4.9,0.064,75,reviewed,us,us
2016-03-12T11:55:51.980Z,51.4857,-174.0893,33.75,4.6,mb,,189,1.367,1.16,us,us10004wzx,2016-03-12T19:58:35.240Z,"79km S of Atka, Alaska",earthquake,9.4,6.7,0.045,143,reviewed,us,us
2016-03-12T04:25:58.740Z,-7.8731,125.7848,10,5,mb,,55,3.591,1.02,us,us10004wyc,2016-03-12T12:28:30.795Z,"79km NNE of Dili, East Timor",earthquake,4.4,1.9,0.077,57,reviewed,us,us
2016-03-12T04:00:27.300Z,18.1737,120.277,10,5.6,mwp,,46,4.681,0.85,us,us10004wy7,2016-03-13T03:56:41.000Z,"24km WNW of Callaguip, Philippines",earthquake,7.8,1.8,,,reviewed,us,us
2016-03-12T03:38:20.330Z,-7.817,125.8231,10,4.5,mb,,83,3.641,0.51,us,us10004wy4,2016-03-12T11:40:54.144Z,"86km NNE of Dili, East Timor",earthquake,5.5,1.9,0.135,16,reviewed,us,us
2016-03-12T03:14:11.570Z,34.9572,111.2483,10,4.8,mb,,70,13.272,0.69,us,us10004wxy,2016-03-12T04:40:44.758Z,"13km NNE of Shengrenjian, China",earthquake,11.8,1.9,0.066,70,reviewed,us,us
2016-03-12T00:24:07.480Z,32.1759,141.8829,24.68,4.6,mb,,130,1.981,0.8,us,us10004wx7,2016-03-12T08:26:38.125Z,"219km ESE of Hachijo-jima, Japan",earthquake,8.3,5.4,0.074,54,reviewed,us,us
2016-03-11T22:41:31.610Z,15.0186,-94.631,44.56,4.7,mb,,143,2.711,0.88,us,us10004ww3,2016-03-12T02:47:01.024Z,"134km S of San Francisco del Mar, Mexico",earthquake,9.1,3,0.033,282,reviewed,us,us
2016-03-11T21:56:29.890Z,-15.1082,-172.7073,20.59,5.3,mb,,64,1.493,1.85,us,us10004wvq,2016-03-11T22:23:22.210Z,"145km NE of Hihifo, Tonga",earthquake,7.6,2.9,0.036,257,reviewed,us,us
2016-03-11T20:33:03.830Z,15.4411,-94.3343,53.4,4.5,mb,,166,2.274,0.94,us,us10004wv0,2016-03-12T17:04:31.156Z,"82km SW of Paredon, Mexico",earthquake,9,13.9,0.057,89,reviewed,us,us
2016-03-11T10:58:10.790Z,-22.4813,-179.6104,551.97,4.8,mb,,40,5.198,0.93,us,us10004wqj,2016-03-11T19:00:47.724Z,"223km SSW of Ndoi Island, Fiji",earthquake,10.9,6.8,0.053,111,reviewed,us,us
2016-03-11T10:58:10.110Z,-7.7436,125.8964,35,4.6,mb,,55,3.728,1.08,us,us10004wqn,2016-03-11T19:00:52.134Z,"96km NNE of Dili, East Timor",earthquake,10.5,2,0.125,19,reviewed,us,us
2016-03-11T07:02:17.020Z,-23.1323,-68.7234,78.99,4.8,mb,,62,0.545,1.46,us,us10004wph,2016-03-11T07:45:12.545Z,"57km WSW of San Pedro de Atacama, Chile",earthquake,7.2,3,0.042,179,reviewed,us,us
2016-03-11T04:23:08.780Z,-3.9364,152.2662,199.23,4.6,mb,,29,0.272,0.81,us,us10004wp8,2016-03-11T12:25:52.115Z,"30km NNE of Rabaul, Papua New Guinea",earthquake,9.7,4.7,0.061,80,reviewed,us,us
2016-03-11T04:16:48.030Z,35.7334,-3.5836,10,5.3,mb,,40,2.245,0.94,us,us10004wp4,2016-03-11T15:01:53.000Z,"62km NNE of Al Hoceima, Morocco",earthquake,5.6,1.8,0.026,509,reviewed,us,us
2016-03-11T01:08:22.330Z,-10.2366,161.4572,89.3,4.9,mb,,47,1.685,0.93,us,us10004wnq,2016-03-11T09:11:03.284Z,"56km WNW of Kirakira, Solomon Islands",earthquake,8.9,4.4,0.06,87,reviewed,us,us
2016-03-10T22:46:20.050Z,12.3532,144.2237,12.77,4.7,mb,,65,1.38,0.76,us,us10004wn0,2016-03-11T06:48:50.333Z,"111km SSW of Merizo Village, Guam",earthquake,6.7,5.3,0.065,71,reviewed,us,us
2016-03-10T18:38:58.140Z,43.189,149.0318,10,5.3,mb,,132,4.492,0.87,us,us10004wlr,2016-03-11T15:07:57.000Z,"198km ESE of Shikotan, Russia",earthquake,9.4,1.9,0.029,405,reviewed,us,us
2016-03-10T12:48:40.960Z,8.3399,-103.3409,10,4.9,mb,,203,10.278,1.05,us,us10004wip,2016-03-10T20:51:10.193Z,"Northern East Pacific Rise",earthquake,8.1,1.9,0.036,239,reviewed,us,us
2016-03-10T08:34:12.160Z,-18.8082,-69.6507,95.37,5,mb,,89,0.489,1.45,us,us10004wgx,2016-03-10T08:58:52.822Z,"68km S of Putre, Chile",earthquake,4.2,6,0.048,140,reviewed,us,us
2016-03-10T03:24:06.400Z,-57.4912,-66.4049,10,5.2,mb,,162,2.655,0.52,us,us10004wfv,2016-03-10T11:26:50.320Z,"Drake Passage",earthquake,10.6,2,0.073,61,reviewed,us,us
2016-03-10T02:16:24.370Z,-19.0215,169.2867,217.47,5.2,mb,,31,2.599,0.76,us,us10004wf6,2016-03-10T10:18:59.829Z,"58km N of Isangel, Vanuatu",earthquake,8.1,4.8,0.034,281,reviewed,us,us
2016-03-09T23:46:07.720Z,35.6823,-3.553,10,4.9,mb,,45,2.286,1.05,us,us10004wer,2016-03-10T06:01:13.665Z,"58km N of Boudinar, Morocco",earthquake,7.5,1.9,0.04,194,reviewed,us,us
2016-03-09T22:54:27.180Z,-29.3011,-179.0928,372.19,4.7,mb,,40,1.018,1.02,us,us10004wef,2016-03-10T06:56:56.797Z,"115km W of Raoul Island, New Zealand",earthquake,11.8,6.1,0.085,42,reviewed,us,us
2016-03-09T22:05:53.570Z,30.4447,99.8969,10,4.6,mb,,105,8.607,0.55,us,us10004we7,2016-03-10T06:08:30.156Z,"67km SW of Rulong, China",earthquake,9.9,1.9,0.093,34,reviewed,us,us
2016-03-09T16:37:14.510Z,-5.6153,110.1938,530.29,4.5,mb,,51,1.445,1.37,us,us10004wbs,2016-03-10T00:39:42.783Z,"111km NNW of Batang, Indonesia",earthquake,10.7,8.3,0.075,52,reviewed,us,us
2016-03-09T16:06:34.190Z,-5.3673,151.4748,58.51,4.8,mb,,145,1.355,0.73,us,us10004wcb,2016-03-10T00:09:05.108Z,"142km SW of Kokopo, Papua New Guinea",earthquake,10.6,7.6,0.086,42,reviewed,us,us
2016-03-09T15:50:24.810Z,-54.5735,-39.6363,11.57,5.4,mb,,35,1.862,0.86,us,usd0006rr6,2016-03-09T23:52:56.044Z,"205km W of Grytviken, South Georgia and the South Sandwich Islands",earthquake,8.1,0.6,0.074,62,reviewed,us,us
2016-03-09T13:28:11.710Z,-30.4676,-71.3993,48.6,4.9,mb,,98,0.289,0.56,us,us10004w9z,2016-03-10T05:20:28.398Z,"23km NW of Ovalle, Chile",earthquake,7,2.3,0.057,96,reviewed,us,us
