I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
2566,,1900,1,11,9,7,    ,,7.8,,,,,,7.8,,JAPAN,,JAPAN:  SEA OF JAPAN,36.5,133.5
2569,,1900,1,20,6,33,30,10,7.4,,7.4,,,,,,MEXICO,,MEXICO,20,-105
2571,,1900,5,16,20,12,    ,60,7.8,,,,,,7.8,,MEXICO,,MEXICO:  NEAR COAST OF JALISCO,20,-105
2573,,1900,6,21,20,52,,60,7.5,,7.5,,,,,,CUBA,,CUBA,10,-85.5
2574,,1900,7,12,6,25,    ,,5.9,,,,,,5.9,8,TURKEY,,"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1
2575,,1900,7,29,6,59,,33,7.6,,7.6,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10,165
6232,Tsu,1900,9,10,21,30,,,6.8,,6.8,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-4,152
2577,,1900,9,18,,,,,7.9,,,,,,7.9,,COLOMBIA,,COLOMBIA,4.6,-74
6574,Tsu,1900,10,7,21,4,,33,6.9,,6.9,,,,,,INDONESIA,,INDONESIA:  NW. IRIAN JAYA,-4,140
2580,,1900,10,9,12,25,,,8.3,,8.3,,,,,8,USA,AK,ALASKA:  KODIAK ISLAND,57.09,-153.48
2583,Tsu,1900,10,29,9,11,    ,25,8.4,,8.4,,,,,10,VENEZUELA,,VENEZUELA:  MACUTO,11,-66
2586,,1900,12,25,5,9,    ,40,7.9,,,,,,7.9,9,RUSSIA,,RUSSIA:  KURIL ISLANDS,43,146
2587,,1901,1,7,0,29,    ,25,7.8,,,,,,7.8,,ECUADOR,,ECUADOR:  ESMERALDAS,-2,-82
2588,,1901,2,15,,,,,6,,6,,,,,8,CHINA,,CHINA:  YUNNAN PROVINCE,26,100.1
7018,Tsu,1901,3,3,7,45,,,6.4,,,,6.4,,,8,USA,CA,CALIFORNIA:  SAN DIEGO,36,-120.5
2589,,1901,3,31,7,11,,,6.4,,6.4,,,,,8,BULGARIA,,"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU",43.4,28.7
9778,Tsu,1901,3,31,7,12,,,7.2,,7.2,,,,,10,BULGARIA,,BULGARIA:  BALCHIK,43.4,28.5
2591,,1901,4,5,22,30,    ,30,7.5,,,,,,7.5,,RUSSIA,,RUSSIA:  KURIL ISLANDS,45,148
2592,Tsu,1901,6,24,7,2,    ,60,7.9,,,,,,7.9,,JAPAN,,JAPAN:  RYUKYU ISLANDS,27,130
2594,Tsu,1901,8,9,9,23,30,33,7.9,,7.9,,,,,,JAPAN,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5
2595,Tsu,1901,8,9,13,1,    ,60,8.4,,8.4,,,,8.4,,NEW CALEDONIA,,NEW CALEDONIA:  LOYALTY ISLANDS,-22,170
2596,Tsu,1901,8,9,18,33,45,33,8.2,,8.2,,,,,,JAPAN,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.6,142.3
2597,Tsu,1901,8,9,20,0,,33,6.3,,6.3,,,,,,JAPAN,,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5
9352,Tsu,1901,10,8,2,16,,,7,,7,,,,,,NICARAGUA,,NICARAGUA,11,-86.5
2599,,1901,11,8,10,18,    ,,6.1,,,,,,6.1,8,TURKEY,,"TURKEY:  HASANKALE,HINS,ERZURUM",40,41.5
2601,,1901,12,14,22,57,45,33,7.8,,7.8,,,,,7,PHILIPPINES,,PHILIPPINES:  LUZON,14,122
2602,,1901,12,18,3,51,,,5.9,,5.9,,,,,8,TURKEY,,"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS",39.4,26.7
2603,Tsu,1901,12,31,9,2,30,,7.8,,7.8,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02
2606,,1902,1,1,5,20,    ,,7.8,,,,,,7.8,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5
2608,,1902,1,16,,,,,7,,7,,,,,,MEXICO,,MEXICO:  GUERRERO,17.6,-99.7
8773,Tsu,1902,1,18,23,23,,,6.3,,6.3,,,,,,GUATEMALA,,"GUATEMALA:  SAN MARTIN, QUEZALTENANGO",14.71,-91.59
2610,,1902,1,24,23,27,,60,7.8,,7.8,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-8,150
2612,,1902,2,9,7,35,    ,60,7.8,,,,,,7.8,,TONGA,,TONGA ISLANDS,-20,-174
2613,,1902,2,13,9,39,30,15,6.9,,6.9,,,,,9,AZERBAIJAN,,AZERBAIJAN:  SEMACHA; N IRAN,40.7,48.6
2614,Tsu,1902,2,26,,,,,7,,7,,,,,,EL SALVADOR,,EL SALVADOR-GUATEMALA,13.5,-89.5
2615,,1902,3,9,7,46,    ,,5.5,,,,,,5.5,9,TURKEY,,TURKEY:  CANKIRI,40.7,33.6
2618,Tsu,1902,4,19,2,23,30,33,7.5,,7.5,,,,,,GUATEMALA,,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS",14,-91
2622,,1902,6,11,5,,,600,8,,8,,,,,4,RUSSIA,,RUSSIA:  SEA OF OKHOTSK,50,148
2623,Tsu,1902,7,5,14,56,30,,6.6,,6.6,,,,,9,TURKEY,,TURKEY:  THESSALONIKI,40.75,23.25
2626,Tsu,1902,8,21,11,17,,,7.3,,7.3,,,,,10,PHILIPPINES,,"PHILIPPINES:  MINDANAO:  LANAO, COTABATO",7.5,123.5
2631,,1902,8,22,3,,,30,7.7,7.7,7.7,,,,,10,CHINA,,"CHINA:  XINJIANG, TURKESTAN",39.88,76.2
8116,,1902,8,,,,,,5.5,,5.5,,,,,7,CHINA,,CHINA:   YUNNAN PROVINCE,26.3,99.9
2634,,1902,9,22,1,46,30,33,8.1,,8.1,,,,,9,USA TERRITORY,GU,GUAM:  AGANA,18,146
2635,,1902,9,23,20,18,30,100,7.8,,7.8,,,,,,MEXICO,,"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6
2637,,1902,12,12,23,10,,60,7.8,,7.8,,,,,,MEXICO,,MEXICO:  BAJA CALIFORNIA,29,-114
2640,,1902,12,16,5,7,,9,6.4,,6.4,,,,,9,UZBEKISTAN,,UZBEKISTAN:   ANDIZHAN,40.8,72.3
2641,,1903,1,4,5,7,    ,400,8,,8,,,,,,TONGA,,TONGA ISLANDS,-20,-175
2642,,1903,1,14,1,47,36,33,7.7,,7.7,,,,,,MEXICO,,MEXICO:  OFF COAST OF GUERRERO,15,-98
2644,,1903,2,1,9,34,    ,60,7.8,,,,,,7.8,,MONGOLIA,,MONGOLIA,48,98
2645,,1903,2,27,0,43,18,,8.1,,8.1,,,,,,INDONESIA,,INDONESIA:  S OF JAVA,-8,106
2646,,1903,3,29,22,30,    ,,5.7,,,,,,5.7,,ISRAEL,,ISRAEL:  NABULUS,32.2,35.3
6237,Tsu,1903,3,30,,,,33,6.5,,6.5,,,,,,INDONESIA,,"INDONESIA:  TIFU, MASARETE, KAJELI",-3,127.5
2649,,1903,4,28,23,46,,,6.3,,6.3,,,,,10,TURKEY,,TURKEY:  MALAZGIRT,39.1,42.5
2652,,1903,5,13,6,34,6,60,7.9,,7.9,,,,,,VANUATU,,VANUATU ISLANDS,-17,168
2653,,1903,5,28,3,58,    ,,5.8,,,,,,5.8,8,TURKEY,,"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7
