YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1900,9,17,21,45,,PAPUA NEW GUINEA,,RABAUL HARBOR,-5,148,3,,,1.5
1900,10,29,9,11,,VENEZUELA,,MANCUTO,11,-66,10,,,
1901,3,31,7,12,,BULGARIA,,BLACK SEA,43.4,28.5,3,,,
1901,6,24,,,,JAPAN,,RYUKYU ISLANDS,28,130.3,0.25,,-2.3,-1.5
1901,8,9,9,23,30,JAPAN,,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,,0,-0.5
1901,8,9,13,1,,NEW CALEDONIA,,LOYALTY ISLANDS,-22,170,1.2,,-0.7,
1901,8,9,18,33,45,JAPAN,,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,,-1,-1
1901,8,9,20,0,,JAPAN,,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,,-1,
1901,10,8,2,16,,NICARAGUA,,NICARAGUA,11,-86.5,1.5,,,
1902,2,26,,,,EL SALVADOR,,EL SALVADOR-GUATEMALA,13.5,-89.5,5,,2.3,2
1902,5,5,,,,MARTINIQUE (FRENCH TERRITORY),,MOUNT PELEE,14.82,-61.17,5,,,
1902,5,7,,,,SAINT VINCENT AND THE GRENADINES,,SOUFRIERE VOLCANO,13.33,-61.18,1,,,
1902,8,30,,,,MARTINIQUE (FRENCH TERRITORY),,MOUNT PELEE,14.82,-61.17,1,,,
1903,2,10,2,28,,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",14,143.3,0.15,,,2
1903,3,30,,,,INDONESIA,,BANDA SEA,-3,127.5,1,,-0.5,0
1905,1,16,,,,NORWAY,,LOEN,61.866,6.85,40.5,,,
1905,7,4,,,,USA,AK,"DISENCHANTMENT BAY, AK",60,-139.58,33.53,,5.1,2.5
1905,9,8,1,43,,ITALY,,CALABRIAN ARC,39,16,1.3,,,4
1905,10,4,22,29,,RUSSIA,,BLACK SEA,44.5,37.5,0.5,,-1,2
1906,1,31,15,35,51,ECUADOR,,OFF COAST,1,-81.5,5,,1,3
1906,2,7,,,,ECUADOR,,COLOMBIA-ECUADOR,1,-81,0.25,,,0.5
1906,4,4,,,,ITALY,,TYRRHENIAN SEA,40.821,14.426,0.4,,,3
1906,4,18,13,12,0,USA,CA,N. CALIFORNIA,37.7,-122.5,0.1,,-3.3,-4
1906,8,7,,,,USA,CA,S. CALIFORNIA,33.9,-117,0.02,,,
1906,8,17,0,40,,CHILE,,CENTRAL CHILE,-33,-72,3.5,,1.8,2
1906,9,14,16,4,18,PAPUA NEW GUINEA,,SOLOMON SEA,-7,149,1.5,,0.6,1.5
1906,10,2,1,50,,PAPUA NEW GUINEA,,BISMARCK SEA,-4,149,1.2,,,1.5
1907,1,14,21,36,,JAMAICA,,JAMAICA,18,-76.8,2.5,,1.3,
1907,3,29,20,46,30,INDONESIA,,"KARAKELONG, TALAUD ISLANDS",3,122,4,,2,2
1907,4,14,6,8,6,MEXICO,,S. MEXICO,17,-100,2,,1,
1907,9,24,12,58,0,USA,AK,"SKAGWAY, AK",59.5,-135.5,0.7,,-0.5,0
1907,10,6,,,,SAMOA,,MATAVANU VOLCANO,-13.612,-172.525,3.6,,,
1908,2,6,,,,INDONESIA,,SW. SUMATRA,-2,100,1.4,,0.5,1
1908,9,21,6,31,,USA,HI,HAWAII,19,-155,1.2,,-0.5,0
1908,12,28,4,20,27,ITALY,,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,13,,,5
1909,3,7,,,,COOK ISLANDS,,RAROTONGA,-21,-159,3,,,
1909,7,30,10,51,54,MEXICO,,S. MEXICO,16.8,-99.8,9,,3.2,
1909,8,14,6,30,0,JAPAN,,"ANEGAWA, JAPAN",35.4,136.3,1.8,,1,
1911,1,30,,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.002,120.993,3,,,
1911,5,11,,,,TOGO,,GOLD COAST,6.1,1.2,5,,,
1912,6,8,4,42,,JAPAN,,SANRIKU,40.5,142,0.5,,-1,0
1913,2,22,1,6,,NEW ZEALAND,,TASMAN SEA,-41.8,171.5,1.5,,0.6,0.5
1913,10,11,4,6,3,PAPUA NEW GUINEA,,SOLOMON SEA,-7,148,0.1,,-3.3,
1914,1,12,9,28,,JAPAN,,SEIKAIDO,31.58,130.67,3,,1.6,-1
1914,1,12,,,,PERU,,CENTRAL PERU,-12,-76.6,1,,,1.5
1914,5,26,14,22,47.7,INDONESIA,,NW. IRIAN JAYA,-1.829,136.943,0.1,,1.5,2
1914,11,27,14,39,46,GREECE,,IONIAN SEA,38.8,20.6,3,,1.7,4
1915,2,11,,,,USA TERRITORY,AS,"MANUA ISLANDS, AMERICAN SAMOA",-14.18,-169.66,2.4,,,
1915,5,23,,,,INDONESIA,,KAIMANA,-3.644,133.695,0.5,,,0
1915,8,7,15,4,3,GREECE,,IONIAN SEA,38.5,20.7,1.5,,,3
1915,11,1,7,23,43,JAPAN,,SANRIKU,38.3,142.9,1,,,0.5
1916,1,1,13,20,49.3,PAPUA NEW GUINEA,,BISMARCK SEA,-4.739,152.548,4.5,,1.5,2
1916,4,26,2,21,52,PANAMA,,BOCAS DEL TORO,9.6,-82,1.3,,,
1916,7,3,23,21,41,ITALY,,STROMBOLI ISLAND,38.817,15.233,10,,,4
1917,1,20,23,11,34,INDONESIA,,BALI SEA,-7,116,2,,1,
1917,1,31,3,39,55,PHILIPPINES,,CELEBES SEA,6,125,1.5,,0.6,
1917,3,16,,,,INDONESIA,,JAVA,-3.7,116.6,1.5,,,1
1917,5,1,18,27,,NEW ZEALAND,,KERMADEC ISLANDS,-29.2,-177,0.3,,3.6,3
1917,5,6,12,19,,TAIWAN,,TAIWAN,23.2,121.6,0.5,,-1,-0.5
1917,6,26,5,49,42,SAMOA,,SAMOA ISLANDS,-15.5,-173,12.2,,3.6,3
1917,7,29,21,52,6,PAPUA NEW GUINEA,,BISMARCK SEA,-3,143.5,0.9,,,1
1917,11,16,3,19,28,NEW ZEALAND,,KERMADEC ISLANDS,-29,-177.5,2.5,,1.3,1
1917,12,6,13,4,,CANADA,NS,"HALIFAX, NOVA SCOTIA",44.633,-63.583,7,,,
1918,7,18,2,30,,INDONESIA,,SULAWESI,3.138,125.491,0.08,,,0
1918,8,15,12,18,12,PHILIPPINES,,CELEBES SEA,5.5,123,7.2,,2.8,2.5
1918,9,7,17,16,,RUSSIA,,S. KURIL ISLANDS,45.5,151.5,12,,3.6,3
1918,10,11,14,14,30,USA TERRITORY,PR,PUERTO RICO: MONA PASSAGE,18.5,-67.5,6.1,,2.6,
1918,11,8,4,38,,RUSSIA,,S. KURIL ISLANDS,44.5,151.5,0.5,,1,2
1918,12,4,11,47,48,CHILE,,NORTHERN CHILE,-26,-71,5,,2.3,2.5
1919,1,1,1,33,42,PHILIPPINES,,"MINDANAO ISLAND, PHILIPPINES",8,126,0.44,,-0.1,
1919,1,1,2,59,57,TONGA,,TONGA ISLANDS,-19.6,-176.6,0.4,,,
1919,4,3,,,,INDONESIA,,SULAWESI,3.138,125.491,5,,,
1919,4,30,7,17,17.3,TONGA,,TONGA ISLANDS,-18.352,-172.515,2.5,,1.3,1.5
1919,5,6,19,41,14.3,PAPUA NEW GUINEA,,SOLOMON SEA,-4.852,153.714,2.5,,2.6,1
1919,5,22,17,45,,ITALY,,STROMBOLI ISLAND,38.789,15.213,0.75,,,4
1919,10,2,,,,USA,HI,"ALIKA, HAWAII",19.23,-155.9,4.3,,,2
1920,1,29,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.87,122.92,2,,1,1
1920,8,20,16,15,38,CHILE,,CENTRAL CHILE,-38,-73.5,1.4,,0.5,1
1920,12,16,12,5,53,CHINA,,CHINA: GANSU AND SHANXI PROVINCES,36.7,104.9,0.75,,,
1921,5,14,11,17,45,INDONESIA,,MAKASSAR STRAIT,0.7,117.9,1,,,0.5
1921,9,11,4,1,38,INDONESIA,,JAVA,-11,111,0.1,,-2.3,-2
1922,1,19,21,58,50,PAPUA NEW GUINEA,,BISMARCK SEA,-7,143,1.8,,,
