YEAR,MONTH,DAY,TSU,EQ,NAME,LOCATION,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,VEI
1900,1,22,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,2
1900,2,16,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,2
1900,7,17,,,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,Historical,2
1901,5,22,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,3
1902,5,7,TSU,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,Historical,4
1902,5,8,TSU,,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,Historical,4
1902,8,7,,,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,Historical,3
1902,8,30,TSU,,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,Historical,4
1902,10,24,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,6
1902,12,,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,2
1903,8,30,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,1
1904,2,25,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,Historical,2
1905,3,10,,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical,2
1905,8,4,TSU,,Savai'i,Samoa-SW Pacific,Samoa,-13.612,-172.525,1858,Shield volcano,Historical,2
1906,4,4,TSU,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,Historical,3
1907,7,,TSU,,Unnamed,Tonga-SW Pacific,Tonga,-21.38,-175.65,-500,Submarine volcano,Historical,0
1907,8,4,,,Alayta,Africa-NE,Ethiopia,12.88,40.57,1501,Shield volcano,Historical,2
1907,9,28,,,Lewotobi,Lesser Sunda Is,Indonesia,-8.53,122.775,1703,Stratovolcano,Historical,2
1909,4,28,,EQ,"Cameroon, Mt.",Africa-W,Cameroon,4.203,9.17,4095,Stratovolcano,Historical,2
1909,9,,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,2
1910,7,25,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,Historical,2
1911,1,30,TSU,EQ,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,Historical,4
1911,5,8,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,2
1911,8,15,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,2
1911,11,8,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,3
1912,9,6,,,Novarupta,Alaska Peninsula,United States,58.27,-155.16,841,Caldera,Historical,6
