year,disaster,category,Country iso,Country name,Total_deaths,Affected,Injured,Homeless,Total_affected,Total_damage
1976,Earthquake,deaths,CHN,China,242000,0,164000,0,164000,5600000
2010,Earthquake,deaths,HTI,Haiti,222570,3400000,300000,0,3700000,8000000
1927,Earthquake,deaths,CHN,China,200000,0,0,0,0,0
1920,Earthquake,deaths,CHN,China,180000,0,0,0,0,0
1923,Earthquake,deaths,JPN,Japan,143000,100000,103733,0,203733,600000
1948,Earthquake,deaths,SUN,Soviet Union,110000,0,0,0,0,25000
2008,Earthquake,deaths,CHN,China,87560,46655000,368383,400735,47424118,85492000
1908,Earthquake,deaths,ITA,Italy,75000,150000,0,0,150000,116000
2005,Earthquake,deaths,PAK,Pakistan,73338,0,128309,5000000,5128309,5200000
1932,Earthquake,deaths,CHN,China,70000,0,0,0,0,0
1902,Volcanic,deaths,MTQ,Martinique,30000,0,0,0,0,0
1985,Volcanic,deaths,COL,Colombia,21800,7700,5000,0,12700,1000000
1902,Volcanic,deaths,GTM,Guatemala,7000,0,0,0,0,0
1909,Volcanic,deaths,IDN,Indonesia,5500,0,0,0,0,0
1919,Volcanic,deaths,IDN,Indonesia,5000,0,0,0,0,0
1929,Volcanic,deaths,GTM,Guatemala,5000,0,0,0,0,0
1951,Volcanic,deaths,PNG,Papua New Guinea,3000,0,0,0,0,0
1986,Volcanic,deaths,CMR,Cameroon,1746,10000,437,0,10437,0
1963,Volcanic,deaths,IDN,Indonesia,1690,78000,0,0,78000,0
1902,Volcanic,deaths,VCT,Saint Vincent and the Grenadines,1565,0,0,0,0,0
2004,Tsunami,deaths,IDN,Indonesia,165708,0,0,532898,532898,4451600
2004,Tsunami,deaths,LKA,Sri Lanka,35399,516130,23176,480000,1019306,1316500
2011,Tsunami,deaths,JPN,Japan,19846,362887,5933,0,368820,210000000
2004,Tsunami,deaths,IND,India,16389,647599,6913,0,654512,1022800
2004,Tsunami,deaths,THA,Thailand,8345,58550,8457,0,67007,1000000
1933,Tsunami,deaths,JPN,Japan,6064,0,0,0,0,25000
1927,Tsunami,deaths,JPN,Japan,2925,0,0,0,0,40000
1952,Tsunami,deaths,SUN,Soviet Union,2300,0,0,0,0,0
1998,Tsunami,deaths,PNG,Papua New Guinea,2182,9199,668,0,9867,0
1923,Tsunami,deaths,JPN,Japan,2144,0,0,0,0,0
1991,Volcanic,affected,PHL,Philippines (the),640,1035870,195,5800,1041865,211000
2015,Volcanic,affected,ECU,Ecuador,0,800000,0,0,800000,
